Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
28395,610.291,208.1781167,173.888747,1.197191424,0.549812187,28715,190.1410973,0.763922518,0.98885599.9,0.958027126,0.913357755,0.007331506,0.003147289,0.834222388,0.998723889,seker
28734,638.018,200.5247957,182.7344194,1.097356461,0.411785251,"29,172",191.2727505,0.783968133,0.98.4985603,0.8.87033637,0.953860842,0.006978659,0.003563624,0.909850506,0.998430331,SEKER
29380,624.11,212.8261299,175.9311426,1.209712656,0.562727317,"29,690",193.4109041,0.778113248,0.989558774,0.947849473,0.908774239,0.007243912,0.003047733,0.825870617,0.999066137,SEKERB
30008,645.884,210.557999,182.5165157,1.153638059,0.498615976,30724,195.4670618,0.782681273,0.97669574.3,0.903936.374,0.928328835,0.007016729,0.003214562,0.861794425,0.994198849,SEKER
30140,620.134,201.8478822,190.2792788,1.06079802,0.333679658,"30,417",195.896503,0.773098035,0..99089325,0.984877069,0.970515523,0.00669701,0.003664972,0.941900381,0.999166059,SEKER
30279,634.927,212.5605564,181.5101816,1.171066849,0.52040066,30600,196.3477022,0.775688485,0.989509804,0..943851783,0.923725952,0.007020065,0.003152779,0.853269634,0.999235781,SEKER
30477,670.033,211.0501553,184.0390501,1.146768336,0.489477894,"30,970",196.9886332,0.762401501,0.9840.81369,0.853.079869,0.933373552,0.006924899,0.003242016,0.871186188,0.999048736,SEKER
30519,629.727,212.9967551,182.7372038,1.165590535,0.513759558,30847,197.1243203,0.770681818,0.989366875,0.967109244,0.925480392,0.006979152,0.003158285,0.856513956,0.99834456,SEKER
30685,635.681,213.5341452,183.1571463,1.165852108,0.51408086,"31,044",197.659696,0.771561479,0.988435769,0..954239808,0.925658498,0.00695891,0.00315155,0.856843654,0.998952981,SEKER
30834,631.934,217.2278128,180.8974686,1.2008339,0.553642225,"31,120",198.1390121,0.783682806,0.990809769,0.97027823,0.91212543,0.007045074,0.00300804,0.8319728,0.999061142,SEKER
30917,640.765,213.5600894,184.4398709,1.157884618,0.504102365,31280,198.4055115,0.770805285,0.9.88395141,0.9.4625818,0.929038343,0.006907529,0.00317422,0.863112242,0.999384389,SEKER
31091,638.558,210.4862549,188.3268476,1.117664622,0.446621924,"31,458",198.9630385,0.786377317,0.988333651,0..958172836,0.945254305,0.006770006,0.003333984,0.8935057,0.998639711,SEKER
31107,640.594,214.6485485,184.9692526,1.160455295,0.507365875,"31,423",199.0142269,0.761046142,0.9899.43672,0.95258.1757,0.927163162,0.006900329,0.003145388,0.859631529,0.997563959,SEKER
31158,642.626,216.4848362,183.6443122,1.178826797,0.529514251,31492,199.1773023,0.798759229,0..989394132,0.9481.19004,0.92005198,0.00694797,0.003071052,0.846495646,0.997871751,SEKER
31158,641.105,212.0669751,187.1929601,1.132879009,0.469924157,31474,199.1773023,0.781313473,0.989959967,0.95.2623101,0.939218858,0.006806181,0.00326701,0.882132064,0.999348898,SEKER
31178,636.888,212.9759252,186.5620882,1.141582018,0.482352224,"31,520",199.2412169,0.764110482,0.9.89149746,0.965899596,0.935510513,0.006830968,0.003227429,0.875179919,0.999089658,SEKER
31202,644.454,215.6406947,184.4716842,1.168963657,0.517871223,"31,573",199.3178875,0.779192888,0.9882494.54,0.944079243,0.924305534,0.006911118,0.003111647,0.85434072,0.998693253,SEKER
31203,639.782,215.067737,184.8748759,1.163315112,0.510946829,"31,558",199.3210815,0.762984155,0.988750871,0.957948542,0.926782809,0.006892534,0.003136682,0.858926376,0.999202033,SEKER
31272,638.666,212.4503189,187.535939,1.132851229,0.469883494,"31,593",199.5413417,0.770322199,0.989839521,0.963425036,0.939237666,0.006793627,0.003261246,0.882167393,0.999364415,SEKER
31335,635.011,216.7900923,184.1634403,1.177161395,0.52758671,"31,599",199.7422367,0.774277242,0.991645305,0.976510834,0.921362386,0.006918465,0.003075469,0.848908647,0.999302487,SEKER
31374,636.401,219.865394,182.0088637,1.207992784,0.56099452,"31,604",199.8664991,0.769196823,0.99272244,0.973459862,0.909040279,0.007007885,0.002951884,0.826354229,0.998229946,SEKERX
31530,638.857,213.7856543,188.0664823,1.136755746,0.475535642,31791,200.3627781,0.768949371,0.991790129,0.970792739,0.937213391,0.006780389,0.003226921,0.878368941,0.99849094,SEKER
31573,674.103,217.3070261,185.4482507,1.171793345,0.52126839,"32,197",200.499357,0.756964757,0.980619312,0.873118507,0.922654737,0.006882685,0.003076767,0.851291764,0.997538024,SEKERV
31637,656.711,229.7192546,175.510446,1.308863717,0.645190802,32045,200.702465,0.761823348,0.98.7267905,0.9.21842182,0.873685862,0.007261095,0.002609775,0.763326986,0.999090996,seker
31675,657.431,236.7526321,171.2105592,1.3828156,0.690678219,32009,200.8229633,0.740935673,0..989565435,0.92092896,0.848239622,0.007474432,0.002386889,0.719510457,0.994950284,SEKER
31682,646.721,210.0456816,192.2484159,1.092574316,0.402841974,32026,200.8451524,0.773184303,0.989258727,0.951893863,0.956197485,0.006629811,0.003418781,0.91431363,0.998955589,SEKER
31703,656.305,215.7089067,187.2724497,1.151845384,0.496263281,"32,093",200.9117052,0.777110501,0.987847817,0.9249.0856,0.931401991,0.006804053,0.003158611,0.867509669,0.999237008,SEKER
31748,641.826,219.7765183,184.1151053,1.193690859,0.546072628,"32,020",201.0542441,0.775589974,0.991505309,0.968482156,0.914812218,0.006922531,0.002990698,0.836881394,0.99897767,SEKER
31768,650.954,220.9594949,183.2920681,1.205504947,0.558465259,"32,173",201.1175623,0.777674419,0.987411805,0.9421046.3,0.910201041,0.006955411,0.002944773,0.828465935,0.998719784,SEKER
31811,642.092,223.9846829,180.9171228,1.238051321,0.589564969,"32,052",201.2536289,0.773877293,0.992480968,0..969600136,0.898515141,0.007041108,0.002830886,0.807329459,0.999515303,SEKER
31821,649.681,213.7356452,189.9692019,1.125106823,0.458286561,32168,201.2852592,0.772354369,0.989212882,0.9473.78132,0.941748668,0.006716811,0.003258989,0.886890554,0.997846613,SEKER
31823,662.532,222.8726889,181.8946963,1.225284154,0.57785815,"32,274",201.2915846,0.774847821,0.986.025903,0.911039.62,0.903168466,0.00700351,0.002874555,0.815713278,0.999480554,seker
31837,656.404,224.9125542,180.4394219,1.246471264,0.596968354,"32,238",201.3358572,0.785245659,0.9.87561263,0.92853774.8,0.89517394,0.007064502,0.002798279,0.801336382,0.998842773,SEKER
31915,640.718,216.3203615,188.0653069,1.150240653,0.494138341,32184,201.5823407,0.777655945,0.99.164181,0.976946683,0.93186947,0.006778015,0.003152845,0.868380709,0.998846794,SEKER
31972,639.974,213.6874805,190.6449473,1.120866215,0.451705439,32246,201.7622728,0.772270531,0.9.91502822,0.980968377,0.944193232,0.006683582,0.003276669,0.891500859,0.999253193,SEKER
31992,640.338,212.8873637,191.4872537,1.111757361,0.436968432,"32,258",201.8253689,0.774212284,0.991753984,0.980466376,0.948038274,0.006654394,0.003315826,0.898776569,0.999221466,SEKER
31994,654.535,212.1713961,192.4225318,1.102632806,0.421302377,"32,391",201.8316774,0.789741311,0.987743509,0.938453277,0.951267141,0.0066316,0.003349716,0.904909174,0.997782541,SEKER
32015,653.676,212.9299893,191.8101346,1.110108127,0.43420694,"32,375",201.897905,0.761880964,0.988880309,0.941.538949,0.948189147,0.006650945,0.003316218,0.899062659,0.998056765,SEKER
32026,654.237,230.9790674,176.9318083,1.305469433,0.642831065,"32,349",201.9325869,0.779448988,0.990015147,0.940247.873,0.874246265,0.007212236,0.002598872,0.764306531,0.997778814,SEKERM
32038,645.085,224.4823211,181.9408668,1.233820224,0.5857513,"32,308",201.970415,0.770514671,0.9.91642937,0.967478615,0.899716352,0.007006752,0.002832168,0.809489514,0.998764533,SEKER
