Area,Perimeter,MajorAxisLength,MinorAxisLength,AspectRation,Eccentricity,ConvexArea,EquivDiameter,Extent,Solidity,roundness,Compactness,ShapeFactor1,ShapeFactor2,ShapeFactor3,ShapeFactor4,Class
57037,937.725,382.995112,191.8901584,1.99590805,0.865432761,57775,269.4842554,0.611021243,0.987226309,0.815108739,0.703623224,0.006714854,0.001015259,0.495085641,0.988145417,HOROZ
57055,937.369,367.3171818,205.6747948,1.785912475,0.828534609,59620,269.5267746,0.664442348,0..956977524,0.815985423,0.733771214,0.006437949,0.001151251,0.538420195,0.961571343,HOROZA
57062,947.339,387.1254322,188.784729,2.050618364,0.873034873,57764,269.543308,0.618444298,0.987847102,0.7989.98603,0.696268665,0.006784295,0.00098354,0.484790054,0.994119388,horoz
57074,953.638,372.8287126,197.8380897,1.884514318,0.847596865,"58,318",269.5716487,0.63202073,0.978668679,0.78864.4136,0.723044228,0.006532374,0.001101312,0.522792956,0.98521081,HOROZ
57104,946.381,391.5949652,186.8180544,2.096130197,0.878865515,57747,269.6424873,0.734976511,0.988865222,0.80120.6326,0.68857496,0.006857575,0.000950945,0.474135475,0.993849686,HOROZ
57106,945.662,381.1508755,193.3643213,1.971154104,0.861759511,"58,022",269.6472092,0.678952312,0..984212885,0.802453229,0.707455306,0.006674445,0.001031314,0.50049301,0.98654885,HOROZ
57109,969.163,407.1832607,178.9490305,2.275414734,0.898252218,"57,833",269.6542919,0.737670826,0.987481196,0.76404822,0.662243068,0.007129932,0.000845931,0.438565881,0.997919269,HOROZ
57109,967.159,396.9760311,184.1530406,2.155685455,0.885893033,58004,269.6542919,0.646022104,0.984.57003,0.7672.1779,0.679270966,0.006951199,0.000912876,0.461409045,0.994652766,HOROZ
57115,957.55,400.3703342,182.9316715,2.188633224,0.889514903,"57,805",269.6684568,0.57023762,0..988063316,0.7827753.19,0.673547548,0.007009898,0.000889948,0.453666299,0.992909135,HOROZ
57121,941.078,385.9214754,188.9401204,2.042559699,0.871957388,57768,269.6826209,0.634381733,0.988800028,0.810502622,0.698801798,0.00675621,0.0009938,0.488323953,0.997430827,HOROZZ
57126,961.521,402.9992192,183.3261908,2.198263203,0.890540186,58284,269.6944238,0.745955263,0..980131769,0.776472.594,0.669218229,0.007054567,0.000872813,0.447853038,0.984498854,horoz
57128,957.514,397.8541607,184.0895858,2.16119863,0.886511689,"57,901",269.6991448,0.601132226,0.986649626,0.783012362,0.67788444,0.006964259,0.000907146,0.459527314,0.993129801,HOROZ
57128,941.454,381.1144149,192.3351881,1.981511644,0.863315134,"57,808",269.6991448,0.696139598,0.988236922,0.809.954596,0.70765926,0.006671237,0.001032008,0.500781628,0.992304628,HOROZ
57134,948.593,371.0183606,197.9117962,1.874665218,0.845845112,57908,269.7133073,0.810434339,0.9.86633971,0..797893016,0.72695407,0.006493828,0.001118687,0.52846222,0.990689743,HOROZ
57140,971.769,381.1375546,192.8021872,1.976832111,0.862615679,"58,062",269.7274691,0.589661827,0.984120423,0.760368328,0.707690612,0.006670241,0.001032036,0.500826002,0.990048922,HOROZ
57141,945.44,370.0875312,198.5954679,1.863524556,0.843825571,"58,117",269.7298293,0.699828536,0.98320.6291,0.803.322175,0.728827119,0.006476742,0.001127287,0.53118897,0.98988369,HOROZ
57150,956.504,396.9845225,184.0545577,2.156885043,0.886028085,"57,820",269.7510704,0.67861214,0..988412314,0.784969.021,0.67950022,0.006946361,0.000913473,0.461720549,0.995878146,HOROZ
57164,918.841,355.9684561,206.6538915,1.722534493,0.814231801,58135,269.7841088,0.744400458,0.9832.97497,0.85084753.1,0.757887684,0.006227144,0.001267325,0.574393741,0.989413032,HOROZ
57189,975.783,378.934198,195.2014429,1.941246911,0.857110364,57994,269.8430957,0.61925026,0.986.119254,0..754772158,0.712110697,0.006625998,0.001051044,0.507101644,0.984409501,horoz
57193,974.719,386.013941,196.8590548,1.960864545,0.860186773,59995,269.8525325,0.589545623,0.953.296108,0.75647.3777,0.699074577,0.006749321,0.000994338,0.488705264,0.958284825,horoz
57217,948.292,390.4365064,187.8260462,2.078713333,0.876683934,"58,008",269.9091459,0.608795114,0.98636395,0.799559474,0.691300996,0.006823785,0.000961333,0.477897067,0.993411006,HOROZ
57229,934.644,374.5611129,195.2010587,1.918847753,0.853467489,57984,269.9374481,0.791056742,0.986979167,0.8232534.83,0.72067665,0.006544953,0.001089051,0.519374834,0.996601234,HOROZY
57230,953.606,395.4095217,184.9630681,2.137775534,0.883847075,57949,269.9398065,0.614761583,0.987592538,0.790852806,0.682684133,0.00690913,0.000925726,0.466057626,0.996326589,HOROZY
57273,946.538,366.8312064,200.7587294,1.827224188,0.836950746,"58,121",270.0411977,0.727756741,0.9.85409749,0.80331095.3,0.736145652,0.006404959,0.001160249,0.541910421,0.99019183,HOROZ
57282,959.521,391.932803,187.728971,2.087758757,0.877824426,"58,190",270.0624143,0.735629527,0.98439594.4,0..78184213,0.689052848,0.006842163,0.000951444,0.474793828,0.991254971,HOROZ
57283,963.934,374.3286774,195.8871357,1.910940584,0.852146986,"58,125",270.0647716,0.627690116,0.9855.13978,0.774713316,0.721464285,0.006534725,0.00109211,0.520510714,0.994665048,HOROZX
57304,946.431,375.4172524,200.2333228,1.874898978,0.845887051,"58,538",270.11427,0.681136337,0.97.8919676,0.803927.506,0.719504147,0.006551327,0.001083034,0.517686218,0.970609361,HOROZ
57311,953.118,373.2428761,196.5679635,1.898798103,0.850082877,"58,213",270.1307675,0.6401604,0.98.4505179,0.792.783326,0.723739915,0.006512587,0.001102208,0.523799465,0.99458943,HOROZ
57349,942.944,376.8234714,195.0177999,1.932251679,0.855664503,58138,270.2203076,0.655087727,0.98642884.2,0.81052032.6,0.717100521,0.006570707,0.001071796,0.514233157,0.993627881,HOROZ
57352,967.188,389.4594895,188.3289886,2.0679742,0.87530844,58247,270.2273753,0.684620159,0.98463.4402,0.7704.36114,0.693852333,0.006790687,0.000970871,0.48143106,0.995587011,HOROZ
57356,973.845,393.0484951,189.0698965,2.07885286,0.876701651,"58,298",270.2367986,0.82019162,0.9.83841641,0.759.992038,0.687540601,0.006852788,0.000944584,0.472712078,0.982698856,HOROZ
57366,956.177,390.7171442,188.4237235,2.073609082,0.876033103,"58,224",270.2603554,0.608657825,0.98.5263809,0.788474853,0.691703345,0.006810953,0.000961761,0.478453517,0.992125558,horoz
57371,905.574,352.9530277,209.0918517,1.68802861,0.805638828,58240,270.2721331,0.67492118,0.98507898.4,0..879132618,0.765745331,0.006152116,0.001304793,0.586365912,0.989802436,HOROZ
57371,959.093,402.5313903,182.2267305,2.208959076,0.891661919,58079,270.2721331,0.5873362,0..987809707,0.78.3755933,0.671431197,0.007016287,0.000879616,0.450819852,0.995842604,HOROZ
57385,960.547,387.9465376,189.6655497,2.04542437,0.872342021,"58,372",270.3051077,0.690055315,0.983091208,0.781575631,0.696758655,0.006760417,0.00098284,0.485472623,0.992997535,HOROZ
57385,951.325,389.8297431,188.3541151,2.069664063,0.875526446,57992,270.3051077,0.803261478,0.9895330.39,0.79680202.7,0.693392725,0.006793234,0.000968665,0.480793471,0.995080968,HOROZ
